cd_talhao;dt_hr_local_inicial;cd_equipamento;vl_velocidade;vl_rpm;vl_temperatura_motor;vl_consumo_instantaneo
401;09/11/2021 00:00;121,00;5.26;2037,00;89,00;44.2
401;09/11/2021 00:00;121,00;5.21;2126,00;89,00;44.5
401;09/11/2021 00:00;121,00;5.2;2003,00;89,00;44.09
401;09/11/2021 00:00;121,00;5.18;2156,00;89,00;44.49
401;09/11/2021 00:00;121,00;5.07;2012,00;89,00;45.48
401;09/11/2021 00:00;121,00;5.19;2115,00;89,00;44.56
401;09/11/2021 00:00;121,00;5.15;1990,00;89,00;44.87
401;09/11/2021 00:00;121,00;5.2;2086,00;89,00;44.47
401;09/11/2021 00:00;121,00;4.92;1923,00;89,00;45.67
401;09/11/2021 00:00;121,00;4.95;2039,00;89,00;45.59
401;09/11/2021 00:00;121,00;5.02;1956,00;89,00;45.62
401;09/11/2021 00:00;121,00;5,00;2066,00;89,00;45.71
401;09/11/2021 00:00;121,00;5.3;2051,00;89,00;44.04
401;09/11/2021 00:00;121,00;5.25;2123,00;89,00;44.71
401;09/11/2021 00:00;121,00;5.14;1981,00;89,00;44.63
401;09/11/2021 00:00;121,00;5.21;2028,00;89,00;44.66
401;09/11/2021 00:00;121,00;5.18;2095,00;89,00;44.73
401;09/11/2021 00:00;121,00;5.02;2007,00;89,00;45.45
401;09/11/2021 00:00;121,00;5.35;2153,00;88,00;44.04
401;09/11/2021 00:00;121,00;5,00;2083,00;89,00;45.19
401;09/11/2021 00:00;121,00;5.41;2060,00;89,00;43.91
401;09/11/2021 00:00;121,00;5.05;2035,00;88,00;45.05
401;09/11/2021 00:00;121,00;5.17;2043,00;88,00;44.57
401;09/11/2021 00:00;121,00;5.24;2062,00;88,00;44.53
401;09/11/2021 00:00;121,00;5.18;2014,00;88,00;45.06
401;09/11/2021 00:00;121,00;5.01;2063,00;88,00;45.16
401;09/11/2021 00:00;121,00;5.29;2129,00;88,00;44.18
401;09/11/2021 00:00;121,00;5.25;2097,00;88,00;44.33
401;09/11/2021 00:00;121,00;5.51;2199,00;88,00;42.66
401;09/11/2021 00:00;121,00;5.53;2192,00;88,00;42.82
401;09/11/2021 00:00;121,00;5.51;2204,00;88,00;42.69
